,url,prize,photographer,year
1481,https://www.worldpressphoto.org/collection/photo-contest/1998/joseph-mcnally/1,"Stories, 3rd prize",Joseph McNally,1998
1482,https://www.worldpressphoto.org/collection/photo-contest/1998/jodi-bieber-aaes/1,"Stories, 2nd prize",Jodi Bieber,1998
1483,https://www.worldpressphoto.org/collection/photo-contest/1998/vanessa-winship/1,"Stories, 1st prize",Vanessa Winship,1998
1484,https://www.worldpressphoto.org/collection/photo-contest/1998/robert-polidori/1,"Singles, 3rd prize",Robert Polidori,1998
1485,https://www.worldpressphoto.org/collection/photo-contest/1998/harald-schmitt/1,"Singles, 2nd prize",Harald Schmitt,1998
1486,https://www.worldpressphoto.org/collection/photo-contest/1998/jodi-bieber-aae/1,"Singles, 1st prize",Jodi Bieber,1998
1487,https://www.worldpressphoto.org/collection/photo-contest/1998/fernando-moleres/1,"Stories, 3rd prize",Fernando Moleres,1998
1488,https://www.worldpressphoto.org/collection/photo-contest/1998/judah-passow-pn/1,"Singles, 2nd prize",Judah Passow,1998
1489,https://www.worldpressphoto.org/collection/photo-contest/1998/eric-luke/1,"Singles, 2nd prize",Eric Luke,1998
1490,https://www.worldpressphoto.org/collection/photo-contest/1998/joachim-ladefoged-pns/1,"Stories, 1st prize",Joachim Ladefoged,1998
1491,https://www.worldpressphoto.org/collection/photo-contest/1998/kadir-van-lohuizen/1,"Stories, 2nd prize",Kadir van Lohuizen,1998
1492,https://www.worldpressphoto.org/collection/photo-contest/1998/santiago-lyon/1,"Stories, 1st prize",Santiago Lyon,1998
1493,https://www.worldpressphoto.org/collection/photo-contest/1998/massimo-sciacca/1,"Singles, 3rd prize",Massimo Sciacca,1998
1494,https://www.worldpressphoto.org/collection/photo-contest/1998/anonymous/1,"Singles, 2nd prize", Anonymous,1998
1495,https://www.worldpressphoto.org/collection/photo-contest/1998/wendy-sue-lamm/1,"Singles, 1st prize",Wendy Sue Lamm,1998
1496,https://www.worldpressphoto.org/collection/photo-contest/1998/dudley-m-brooks/1,"Stories, 3rd prize",Dudley M. Brooks,1998
1497,https://www.worldpressphoto.org/collection/photo-contest/1998/aristide-economopoulos/1,"Stories, 2nd prize",Aristide Economopoulos,1998
1498,https://www.worldpressphoto.org/collection/photo-contest/1998/eric-mencher/1,"Stories, 1st prize",Eric Mencher,1998
1499,https://www.worldpressphoto.org/collection/photo-contest/1998/christopher-pillitz/1,"Singles, 3rd prize",Christopher Pillitz,1998
1500,https://www.worldpressphoto.org/collection/photo-contest/1998/bill-frakes/1,"Singles, 2nd prize",Bill Frakes,1998
1501,https://www.worldpressphoto.org/collection/photo-contest/1998/jed-jacobsohn/1,"Singles, 1st prize",Jed Jacobsohn,1998
1502,https://www.worldpressphoto.org/collection/photo-contest/1998/jean-michel-turpin/1,"Stories, 3rd prize",Jean-Michel Turpin,1998
1503,https://www.worldpressphoto.org/collection/photo-contest/1998/marc-steinmetz-sats/1,"Stories, 2nd prize",Marc Steinmetz,1998
1504,https://www.worldpressphoto.org/collection/photo-contest/1998/silvia-izquierdo/1,"Stories, 3rd prize",Silvia Izquierdo,1998
1505,https://www.worldpressphoto.org/collection/photo-contest/1998/george-steinmetz/1,"Stories, 1st prize",George Steinmetz,1998
1506,https://www.worldpressphoto.org/collection/photo-contest/1998/judah-passow-pns/1,"Stories, 2nd prize",Judah Passow,1998
1507,https://www.worldpressphoto.org/collection/photo-contest/1998/david-modell/1,"Stories, 3rd prize",David Modell,1998
1508,https://www.worldpressphoto.org/collection/photo-contest/1998/michael-s-wirtz/1,"Singles, 1st prize",Michael S. Wirtz,1998
1509,https://www.worldpressphoto.org/collection/photo-contest/1998/peter-dammann/1,"Singles, 2nd prize",Peter Dammann,1998
1510,https://www.worldpressphoto.org/collection/photo-contest/1998/carol-guzy-po/1,"Singles, 3rd prize",Carol Guzy,1998
1511,https://www.worldpressphoto.org/collection/photo-contest/1998/joachim-ladefoged-pn/1,"Singles, 3rd prize",Joachim Ladefoged,1998
1512,https://www.worldpressphoto.org/collection/photo-contest/1998/shobha/1,"Stories, 2nd prize", Shobha,1998
1513,https://www.worldpressphoto.org/collection/photo-contest/1998/tom-stoddart/1,"Stories, 3rd prize",Tom Stoddart,1998
1514,https://www.worldpressphoto.org/collection/photo-contest/1998/stephen-ferry/1,"Singles, 1st prize",Stephen Ferry,1998
1515,https://www.worldpressphoto.org/collection/photo-contest/1998/marc-steinmetz-sat/1,"Singles, 2nd prize",Marc Steinmetz,1998
1516,https://www.worldpressphoto.org/collection/photo-contest/1998/oliver-meckes-nicole-ottawa/1,"Singles, 3rd prize", Oliver Meckes & Nicole Ottawa,1998
1517,https://www.worldpressphoto.org/collection/photo-contest/1998/antonin-kratochvil/1,"Stories, 1st prize",Antonin Kratochvil,1998
1518,https://www.worldpressphoto.org/collection/photo-contest/1999/yunghi-kim/1,"Stories, 1st prize",Yunghi Kim,1999
1519,https://www.worldpressphoto.org/collection/photo-contest/1999/tom-stoddart/1,"Stories, 2nd prize",Tom Stoddart,1999
1520,https://www.worldpressphoto.org/collection/photo-contest/1999/dudley-m-brooks/1,"Stories, 3rd prize",Dudley M. Brooks,1999
1521,https://www.worldpressphoto.org/collection/photo-contest/1999/tomasz-gudzowaty/1,"Singles, 1st prize",Tomasz Gudzowaty,1999
1522,https://www.worldpressphoto.org/collection/photo-contest/1999/eduardo-verdugo/1,"Singles, 2nd prize",Eduardo Verdugo,1999
1523,https://www.worldpressphoto.org/collection/photo-contest/1999/nicolai-fuglsig/1,"Stories, 1st prize",Nicolai Fuglsig,1999
1524,https://www.worldpressphoto.org/collection/photo-contest/1999/sung-nam-hun/1,"Singles, 3rd prize", Sung Nam-Hun,1999
